Basketball Player,Basketball team,Age,Height,Home country,college_1,college_1_start_year,college_1_end_year,college_2,college_2_start_year,college_2_end_year,college_3,college_3_start_year,college_3_end_year
Edwards Aaliyah,Washington Mystics,23,1.91,Canada,UConn,2020,2023,,,,,,
Engstler Emily,Washington Mystics,25,1.85,United States,Syracuse University,2018,2020,University of Louisville,2021,2021,,,
Evans Dana,Las Vegas Aces,26,1.68,United States,University of Louisville,2017,2020,,,,,,
Fagbenle Temi,Golden State Valkyries,32,1.93,United Kingdom,Harvard University,2011,2014,USC,2015,2015,,,
Feagin Sania,Los Angeles Sparks,22,1.91,United States,University of South Carolina,2021,2024,,,,,,
Fiebich Leonie,New York Liberty,25,1.93,Germany,,,,,,,,,
Gardner Rebekah,New York Liberty,35,1.83,United States,UCLA,2008,2011,,,,,,
Geiselsoder Luisa,Dallas Wings,25,1.92,Germany,,,,,,,,,
Gray Allisha,Atlanta Dream,30,1.83,United States,University of North Carolina,2013,2014,University of South Carolina,2016,2016,,,
Gray Chelsea,Las Vegas Aces,32,1.8,United States,Duke University,2010,2013,,,,,,
Griner Brittney,Atlanta Dream,34,2.03,United States,Baylor University,2009,2012,,,,,,
Gustafson Megan,Las Vegas Aces,28,1.91,United States,University of Iowa,2015,2018,,,,,,
Hall Bree,Golden State Valkyries,22,1.85,United States,University of South Carolina,2021,2024,,,,,,
Hamby Dearica,Los Angeles Sparks,31,1.91,United States,Wake Forest University,2011,2014,,,,,,
Harris Tyasha,Dallas Wings,27,1.78,United States,University of South Carolina,2016,2019,,,,,,
Harrison Isabelle,New York Liberty,31,1.91,United States,University of Tennessee,2011,2014,,,,,,
Hartley Bria,Connecticut Sun,32,1.73,"United States, France",UConn,2010,2013,,,,,,
Hayes Tiffany,Golden State Valkyries,35,1.78,United States,UConn,2008,2011,,,,,,
Held Alexa,Phoenix Mercury,25,1.78,United States,DePaul University,2018,2021,,,,,,
Hiedeman Natisha,Minnesota Lynx,28,1.73,United States,Marquette University,2015,2018,,,,,,
Hillmon Naz,Atlanta Dream,25,1.89,United States,University of Michigan,2018,2021,,,,,,
Hines-Allen Myisha,Dallas Wings,29,1.85,United States,University of Louisville,2014,2017,,,,,,
Holmes Joyner,Las Vegas Aces,27,1.91,United States,University of Texas,2016,2019,,,,,,
Holmes Mackenzie,Seattle Storm,24,1.91,United States,University of Indiana,2019,2023,,,,,,
Howard Rhyne,Atlanta Dream,25,1.89,United States,University of Kentucky,2018,2021,,,,,,
Howard Natasha,Indiana Fever,33,1.93,United States,Florida State University,2010,2013,,,,,,
Hull Lexie,Indiana Fever,25,1.85,United States,Stanford University,2018,2021,,,,,,
Ionescu Sabrina,New York Liberty,27,1.8,United States,University of Oregon,2016,2019,,,,,,
Iriafen Kiki,Washington Mystics,21,1.91,United States,Stanford University,2021,2023,USC,2024,2024,,,
Jackson Rickea,Los Angeles Sparks,24,1.86,United States,Mississippi State University,2019,2021,University of Tennessee,2022,2023,,,
James Aziaha,Dallas Wings,22,1.78,United States,North Carolina State University,2021,2024,,,,,,
Jefferson Moriah,Chicago Sky,31,1.68,United States,UConn,2012,2015,,,,,,
Johannes Marine,New York Liberty,30,1.78,France,,,,,,,,,
Jones Brionna,Atlanta Dream,29,1.91,United States,University of Maryland,2014,2016,,,,,,
Jones Haley,"Phoenix Mercury
Dallas Wings",24,1.85,United States,Stanford University,2019,2022,,,,,,
Jones Jonquel,New York Liberty,31,1.98,United States,Clemson ,2012,2012,George Washington University,2013,2015,,,
King Liatu,"Los Angeles Sparks
Dallas Wings",23,1.83,United States,University of Pittsburgh,2020,2023,University of Notre Dame,2024,2024,,,
Kitley Elizabeth,Las Vegas Aces,23,1.98,United States,Virgina Tech University,2019,2023,,,,,,
Kliundikova Maria,Minnesota Lynx,26,1.93,Russia,,,,,,,,,
Kone Sika,Washington Mystics,22,1.9,Mali,,,,,,,,,
Kosu Anastasiia,Minnesota Lynx,20,1.85,Russia,,,,,,,,,
